"V1","V2","V3","V4","V5"
0.157124410907905,0.169159238328369,0.193521601668861,0.166880715482889,0.22780309336494
0.161723853600353,0.177533877341827,0.214878601746598,0.161600968709219,0.232469794087145
0.164392613789775,0.194072542516563,0.22631751833698,0.162469821607991,0.214887783001677
0.15711103748653,0.199857603801157,0.210079234540779,0.165545202140144,0.183411732004606
0.157191259579774,0.194060933243335,0.160806411209321,0.166063280439294,0.150566567778633
0.151716011291225,0.162142936380783,0.108630326174377,0.159911638604006,0.111169006152022
0.144894435954904,0.132928378468008,0.081766266495858,0.159553913601207,0.106257404874945
0.151490650748397,0.108822068971516,0.0827594193121564,0.161052491187861,0.114539148082308
0.143415058513605,0.112737187061953,0.104656387641737,0.163771623908185,0.129744424356101
0.151820051472945,0.121730783851987,0.125897212767806,0.165507344053366,0.140757061582249
0.152068236757063,0.131491732274052,0.14527352165574,0.169888685960952,0.151785099936225
0.153028244780223,0.142555200094021,0.158172850565042,0.174579649310587,0.161088683759654
0.152123872648981,0.152678070674086,0.163561562057444,0.175819358722108,0.163499144849418
0.149820925367055,0.154454085690568,0.165118938681305,0.174411540492606,0.161080675210263
0.152200318180642,0.158974211299678,0.156960314448911,0.171745814870913,0.15604120800758
0.144285690950455,0.158477120764365,0.144315639485106,0.170935387301743,0.148964226580224
0.151588251058527,0.148276289106997,0.138688408893909,0.174949591113919,0.142941965165816
0.152499883919306,0.143690442032562,0.147040047209303,0.183008757227643,0.143140564753317
0.150377602112221,0.146751333670154,0.176647078706344,0.193081599546877,0.143869164415417
0.155227516347872,0.163818664484513,0.215586462695032,0.200219465802656,0.143431515629418
0.157956728317644,0.186374809704696,0.267183306386856,0.204694228067889,0.144936599493006
0.160700663049648,0.222501651025504,0.321206285076521,0.20785083527021,0.145233711453041
0.165490952024334,0.257789225058438,0.349723469315959,0.210361666050539,0.143158974645118
0.172884599559888,0.275346800308226,0.344838084279387,0.210685957337397,0.142616737302641
0.165124957530494,0.282193846879959,0.318813108152871,0.210893566065295,0.143827098856668
0.166494249694684,0.267548190593785,0.279766596567513,0.208672383861846,0.14658136848442
0.159176599840657,0.249505992552484,0.254318395805886,0.208367626518049,0.154205469090484
0.160654261992159,0.235773832521849,0.248093374977783,0.212974043676647,0.16419101783664
0.157964525934602,0.223136210373154,0.241728978476676,0.219417054382976,0.167286190742365
0.156081052852148,0.215256721496523,0.221622534497015,0.218720886080252,0.164690985243586
0.15756203625281,0.211485853727326,0.191148109654165,0.210876015547279,0.162818715291594
0.162390017744931,0.195477638551636,0.182156516911645,0.209683249708155,0.16576768116821
0.165493222921578,0.184634305154645,0.220983256755496,0.220753471562642,0.176421810571274
0.178097997793157,0.20163208464845,0.286096545803129,0.238416304295304,0.189614041663135
0.162114769386925,0.229255439812977,0.337486177958814,0.252672688840784,0.200176666051905
0.162551432443054,0.272718816411067,0.347902328965675,0.254974485383293,0.202340489910519
0.164312505341445,0.282173593760439,0.309134250677384,0.244471494865442,0.197330756316176
0.162230371916361,0.263359684640071,0.244109319790091,0.228262500376642,0.186450821277443
0.175600866018218,0.224272584294021,0.187319476500541,0.214035888705277,0.179068945968517
0.17391162786577,0.196205090759511,0.144184679786923,0.204800605521027,0.174975909675377
0.163733804527919,0.157047177762863,0.11964738378578,0.196379349707949,0.172465490023956
0.162712416836579,0.137629050260575,0.111137362718158,0.189466587870834,0.162940846025995
0.162606799974113,0.129304110864231,0.11476951404086,0.186189864383165,0.148768586112886
0.162446200614348,0.130635097878258,0.128677446542021,0.188496879942485,0.127964664983935
0.16110261950421,0.139377076191831,0.13694643491311,0.192893335633903,0.140202381554885
0.161271490728682,0.14519308248565,0.131437565977544,0.197427509139841,0.152184183808495
0.161374653492821,0.141883151726894,0.118449896115935,0.203628088574672,0.137345466246488
0.161670367432821,0.132023897516541,0.100869005906434,0.207681366745494,0.112207532702979
0.152863119078323,0.118946433876395,0.0922857546531745,0.208540484417809,0.0965009627417468
0.158225461619668,0.11539231045407,0.0949008326872765,0.206682414798216,0.0870286613559015
0.161518272685304,0.117288923937135,0.0948625952224532,0.198439192862608,0.0708256851168317
0.15089198413047,0.116108340190202,0.0857071072900496,0.188054804715194,0.0444292522351574
